0:  b'What would you like to do?\n'
1:  b"Welcome to clam's daring jailbreak! Please keep your hands and feet inside the jail at all times.\n"
2:  b'look around\n'
3:  b'You look around your cell and you see an old bed along with a snake. Outside, kmh stares at you, wondering how to make the jail cell more contrived.\n'
4:  b"You're speaking nonsense. Cut that out.\n"
5:  b"It seems that clam won't be escaping today.\n"
6:  b'sleep\n'
7:  b'You lie down on the bed and close your eyes. You then get bitten by the snake. What did you expect to happen when you went to bed next a snake?\n'
8:  b'You look around your cell and you see an old bed along with a snake. Outside, kmh is nowhere to be seen.\n'
9:  b'knock on the wall\n'
10:  b'You here a muffled voice from the other side saying "I shouldn\'t have blatantly ripped off pico\'s challenges..."\n'
11:  b'pry the bars open\n'
12:  b'You start prying the prison bars open. Realizing this is unintended, kmh decides to patch the universe interpreter to make the bars immovable.\n'
13:  b'You start prying the prison bars open. A wide gap opens and you slip through.\n'
14:  b'throw the snake at kmh\n'
15:  b'pick the snake up\n'
16:  b'You pick the snake up.\n'
17:  b'You throw the snake at kmh and watch as he runs in fear.\n'
18:  b'You look around and see that kmh has already made the jail contrived! There\'s a red button and a green button with a sign that says "pres butons 2 get fleg".\n'
19:  b'press the red button\n'
20:  b'press the green button\n'
21:  b'You pressed the red button. Nothing changed.\n'
22:  b'You pressed the green button. Nothing changed.\n'
23:  b'bananarama\n'
24:  b'For some reason, a flag popped out of the wall, and you walk closer to read it.\n'
25:  b'flag.txt\n'
26:  b'r\n'
27:  b"Couldn't find flag file.\n"
28:  b'Attached to the flag is a key to the front door. It looks like clam is escaping after all.\n'
